Index,Value,Meaning,Suggestion
TGI,High,"High chlorophyll → vigorous crop growth, dense green canopy.","Crop is thriving, but be mindful of excess vegetative growth.
Optimize nitrogen management (consider split applications to prevent lodging or delayed maturity).
Use TGI for yield potential estimation and biomass assessment.
"
CIVE,Very Low,"Likely non-vegetation areas such as soil, residue, or man-made surfaces.","Mask and exclude these pixels from vegetation analysis.
Conduct ground validation to confirm non-vegetation patches.
If unintended bare areas → check for poor crop establishment or planting gaps.
"
CIVE,Low to Moderate,"Partial vegetation signal → could be stressed plants, sparse canopy, or mixed soil–vegetation pixels.","Perform ground truth checks for nutrient stress, irrigation issues, or early pest damage.
Apply corrective agronomy practices if stress is confirmed (fertilizer, irrigation, pest management).
Use in combination with other vegetation indices (e.g., ExG, VARI) for better accuracy.
"
CIVE,High,Strong vegetation signal → clear indication of healthy green canopy.,"Use CIVE for vegetation segmentation, canopy mapping, and crop cover analysis.
Cross-check with other indices (e.g., GLI, NGRDI) to reduce false positives from shadows or bright soil.
Minimal agronomic intervention required unless variability is detected across the field.
"
MGRVI,Low,"Weak or no green signal → bare soil, residues, or stressed/senescent crops.","Inspect field for stress causes (nutrient deficiency, drought, pest/disease).
If non-vegetation → mask out from analysis.
Check imaging conditions (lighting/shadows) to rule out artifacts.
"
MGRVI,Moderate,Normal vegetation health → canopy is present but not at peak greenness.,"Use for monitoring vegetation trends over time.
Combine with VARI or ExG for more robust vegetation detection under varying light.
Apply routine agronomy (fertilizer scheduling, irrigation, pest management).
"
MGRVI,High,"Strong green dominance → dense, healthy canopy with high vigor.","Minimal corrective action required.
Use for crop classification, canopy cover mapping, and biomass/yield estimation.
Continue preventive monitoring for pests/diseases even in healthy zones.
"
VNDVI,0.1 – 0.5 (Healthy),Leaf has strong green reflectance; good photosynthetic activity.,"Maintain normal care (watering, sunlight, nutrients)."
VNDVI,0.0 – 0.1 (Moderate),"Possible early stress (water deficit, nutrient imbalance, or beginning disease).","Monitor plant closely, check soil moisture & nutrient levels. Apply light fertilization if needed."
VNDVI,<0.0 or >0.6 (Unhealthy),"Very low/negative → poor vegetation, bare soil, or dead tissue. Very high → sensor or illumination issue.","If genuine: treat for stress (adjust irrigation, check for pests/disease). If abnormal high → review data quality."
MGRVI,0.2 – 0.6 (Healthy),Clear separation from soil; leaf is actively photosynthesizing.,Maintain current growing conditions.
MGRVI,0.05 – 0.2 (Moderate),Reduced greenness; plant may be under mild stress.,"Investigate nutrient deficiency (esp. nitrogen), adjust fertilization/irrigation."
MGRVI,<0.0 or >0.7 (Unhealthy),Negative = unhealthy or soil exposure. Very high often artifact.,"Remove diseased leaves if localized, improve nutrient & water supply."
VARI,0.1 – 0.4 (Healthy),"Good chlorophyll content, balanced canopy cover.",Continue normal management practices.
VARI,0.0 – 0.1 (Moderate),"Possible early signs of stress, canopy thinning, or shading effects.","Inspect for pest/disease, optimize sunlight exposure."
VARI,<0.0 or >0.5 (Unhealthy),Negative → severe stress or soil background; high → reflectance anomaly.,"Take corrective actions: pest control, irrigation, nutrient management. Validate if extreme high due to image noise."
